Match_no,Date,Team1,Team2,Venue,Winning_team,Player_of_match,Player_of_match_total_impact,Top_scorer,Top_scorer_runs
1st Match ,2026-03-28,SRH,RCB,"M Chinnaswamy Stadium, Bengaluru",RCB ,Jacob Duffy,123.64,Ishan Kishan,80.0
2nd Match ,2026-03-29,KKR,MI,"Wankhede Stadium, Mumbai",MI ,Shardul Thakur,100.88,Ryan Rickelton,81.0
3rd Match ,2026-03-30,CSK,RR,"Barsapara Cricket Stadium, Guwahati",RR ,Nandre Burger,71.05,Vaibhav Sooryavanshi,52.0
4th Match ,2026-03-31,GT,PBKS,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",PBKS ,Cooper Connolly,87.23,Cooper Connolly,72.0
5th Match ,2026-04-01,LSG,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",DC ,Sameer Rizvi,88.41,Sameer Rizvi,70.0
6th Match ,2026-04-02,SRH,KKR,"Eden Gardens, Kolkata",SRH ,Nitish Kumar Reddy,60.11,Angkrish Raghuvanshi,52.0
7th Match ,2026-04-03,CSK,PBKS,"MA Chidambaram Stadium, Chepauk, Chennai",PBKS ,Priyansh Arya,80.61,Ayush Mhatre,73.0
8th Match ,2026-04-04,MI,DC,"Arun Jaitley Stadium, Delhi",DC ,Sameer Rizvi,102.26,Sameer Rizvi,90.0
9th Match ,2026-04-04,RR,GT,"Narendra Modi Stadium, Ahmedabad",RR ,Ravi Bishnoi,109.67,Dhruv Jurel,75.0
10th Match ,2026-04-05,SRH,LSG,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",LSG ,Mohammed Shami,104.16,Rishabh Pant,68.0
11th Match ,2026-04-05,RCB,CSK,"M Chinnaswamy Stadium, Bengaluru",RCB ,Tim David,79.52,Tim David,70.0
12th Match ,2026-04-06,KKR,PBKS,"Eden Gardens, Kolkata",No result,Xavier Bartlett,34.82,Ajinkya Rahane,8.0
13th Match ,2026-04-07,RR,MI,"Barsapara Cricket Stadium, Guwahati",RR ,Yashasvi Jaiswal,79.12,Yashasvi Jaiswal,77.0
14th Match ,2026-04-08,GT,DC,"Arun Jaitley Stadium, Delhi",GT ,Rashid Khan,100.68,KL Rahul,92.0
15th Match ,2026-04-09,KKR,LSG,"Eden Gardens, Kolkata",LSG ,Mukul Choudhary,84.33,Mukul Choudhary,54.0
